Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_AI_Usage_Hours,Productivity_Gain,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD
1,Education,Medium,819,ChatGPT,2025,66,29.74,7.55,5770,33397
2,Education,Medium,1382,Copilot,2025,167,11.55,6.41,46872,103675
3,IT,Small,447,ChatGPT,2023,194,30.95,8.94,9929,117148
4,IT,Small,385,ChatGPT,2023,110,11.31,6.86,113194,125615
5,Finance,Medium,571,Claude,2023,44,23.08,8.84,145989,243695
6,Healthcare,Large,3869,Copilot,2025,143,14.16,9.46,14594,88586
7,Finance,Medium,1446,Claude,2024,84,43.96,7.91,36496,91112
8,Healthcare,Large,3236,Gemini,2024,102,49.27,7.4,97519,136096
9,Finance,Large,1751,ChatGPT,2022,105,21.88,9.4,18498,107824
10,Manufacturing,Large,3502,Claude,2024,28,35.96,9.52,67882,147216
11,Manufacturing,Large,4095,ChatGPT,2025,55,39.92,6.12,71444,151513
12,Manufacturing,Medium,706,ChatGPT,2021,157,34.44,6.44,83753,172835
13,Education,Large,2264,Gemini,2025,164,23.37,6.6,45829,157000
14,Finance,Large,4245,Claude,2023,114,41.89,7.28,7257,116994
15,Retail,Medium,1241,Copilot,2023,102,24.17,6.33,49798,83672
16,IT,Medium,1442,Claude,2024,124,25.84,8.27,108553,182953
17,Manufacturing,Medium,563,Copilot,2025,150,37.1,9.24,20598,28632
18,Retail,Large,2872,Claude,2021,104,19.2,7.4,24059,128752
19,Healthcare,Large,4630,Claude,2021,176,43.58,8.59,137580,254328
20,Manufacturing,Small,334,ChatGPT,2024,30,33.97,8.73,107391,219171
21,Manufacturing,Medium,1333,Copilot,2025,49,49.16,9.77,130802,150877
22,Education,Large,4493,ChatGPT,2023,73,10.23,9.98,128203,196864
23,Healthcare,Small,123,Claude,2021,42,33.68,6.71,29614,104440
24,Retail,Large,4369,Gemini,2023,121,22.14,7.04,69895,148469
25,Retail,Small,378,Copilot,2021,167,45.81,6.18,105165,154838
26,Manufacturing,Small,478,Copilot,2024,53,16.99,7.17,124085,217298
27,Manufacturing,Medium,632,Claude,2022,110,19.95,6.06,90891,135786
28,Manufacturing,Large,2134,Gemini,2021,83,38.29,9.35,75916,122441
29,IT,Large,1803,Claude,2022,117,35.17,8.58,83849,109207
30,Retail,Small,66,Gemini,2023,95,30.89,7.06,129766,234235
31,Retail,Small,55,Copilot,2024,188,31.35,9.37,89800,150409
32,Manufacturing,Large,4302,ChatGPT,2024,154,14.87,7.39,29453,143402
33,IT,Small,464,Gemini,2023,54,17.62,9.48,79085,111885
34,Finance,Small,74,Claude,2023,94,19.36,9.95,13646,67398
35,Education,Small,466,ChatGPT,2022,36,22.31,7.78,91727,164962
36,Education,Small,332,Copilot,2025,68,41.07,7.71,67197,78198
37,IT,Large,3942,Copilot,2022,191,10.97,9.22,143726,194815
38,Finance,Small,483,Claude,2021,197,35.93,7.74,148873,194031
39,Finance,Medium,1036,ChatGPT,2023,93,24.27,6.18,40123,92946
40,IT,Medium,623,Claude,2021,171,18.05,9.02,46178,59578
41,Education,Small,385,Claude,2022,31,37.76,8.88,111358,212168
42,Manufacturing,Large,4652,Gemini,2021,195,49.6,9.77,93059,135232
43,Finance,Large,3802,Gemini,2025,125,19.58,9.39,70191,97757
44,Manufacturing,Large,4864,Gemini,2025,178,19.05,9.65,84344,131876
45,Finance,Medium,1487,Claude,2023,45,36.13,8.1,14014,38278
46,Finance,Small,384,Claude,2022,157,49.07,9.88,116295,188294
47,Manufacturing,Small,454,Gemini,2021,101,24.39,6.05,50166,75696
48,Education,Small,411,Gemini,2023,171,42.27,6.86,32697,138163
49,IT,Small,456,Claude,2021,171,49.62,7.2,73868,130130
50,Finance,Large,4120,Gemini,2023,157,45.77,6.06,139849,196084
51,Education,Small,294,ChatGPT,2021,46,23.91,7.16,44761,58775
52,Manufacturing,Medium,624,Claude,2021,22,27.72,7.41,72651,163698
53,Healthcare,Small,126,ChatGPT,2022,164,16.64,8.47,149948,236038
54,Healthcare,Small,190,ChatGPT,2025,189,28.39,8.93,128330,158906
55,Finance,Medium,1204,Claude,2024,46,10.08,6.08,15372,118958
56,Retail,Small,337,Copilot,2024,97,32.74,6.34,29981,131699
57,Manufacturing,Large,1947,ChatGPT,2024,75,23.33,6.56,14536,55911
58,Education,Medium,1033,ChatGPT,2021,138,28.16,9.77,130975,235462
59,Retail,Large,2271,Claude,2021,42,28.73,9.54,107803,172614
60,Education,Small,113,Copilot,2025,166,11.87,9.92,102466,192135
61,Education,Small,117,ChatGPT,2022,165,14.62,6.68,52206,169386
62,IT,Small,318,ChatGPT,2022,61,22.74,7.55,26489,34897
63,Education,Small,120,ChatGPT,2023,135,15.96,6.73,19282,106745
64,Healthcare,Large,3457,Copilot,2022,28,34.93,8.91,23479,36608
65,Retail,Large,4900,Copilot,2025,100,24.97,9.13,118027,188269
66,Education,Small,117,Copilot,2025,112,32.16,8.81,66551,161110
67,Retail,Small,473,Copilot,2024,145,44.83,9.27,124764,244480
68,Education,Large,1700,ChatGPT,2023,168,47.65,7.81,85885,194615
69,Finance,Medium,1250,Gemini,2021,51,44.88,7.34,40130,63281
70,Healthcare,Medium,1123,Claude,2021,64,26.3,6.03,64790,114328
71,Manufacturing,Large,1820,Claude,2025,85,30.2,6.03,66936,100397
72,Retail,Small,436,Copilot,2023,114,29.04,7.28,51933,71628
73,IT,Medium,1200,Copilot,2023,74,45.22,9.25,17409,105329
74,Retail,Medium,1087,ChatGPT,2021,163,21.38,7.17,113180,133873
75,Retail,Medium,1483,Claude,2021,119,19.4,8.14,95834,165075
76,Finance,Small,379,Gemini,2023,30,17.02,8.85,146557,152488
77,Education,Large,2348,Gemini,2022,104,22.61,7.84,61739,124538
78,Healthcare,Large,2815,Gemini,2023,84,34.62,6.62,68921,174945
79,Healthcare,Small,495,Gemini,2021,68,16.66,8.32,85094,157767
80,Healthcare,Large,3982,ChatGPT,2025,108,39.54,7.25,94934,121503
81,IT,Large,2141,ChatGPT,2024,197,18.68,6.9,93443,127083
82,Retail,Medium,518,Gemini,2021,133,49.61,7.42,96661,131825
83,Healthcare,Medium,628,Gemini,2025,65,18.95,6.93,72200,98343
84,Finance,Small,316,ChatGPT,2024,168,42.86,6.67,46116,78722
85,Healthcare,Large,4165,Gemini,2022,74,39.65,9.84,54112,133221
86,Education,Medium,1118,Claude,2022,156,21.96,8.4,12048,77247
87,IT,Large,2624,Gemini,2025,64,13.36,8.77,26000,57146
88,Retail,Medium,1153,Claude,2023,143,33.64,8.99,52511,71727
89,Finance,Large,3881,Gemini,2024,171,47.41,8.0,34750,98821
90,Education,Small,283,Copilot,2021,40,14.86,9.6,97213,187440
91,Healthcare,Medium,1252,ChatGPT,2025,51,39.95,9.42,148490,215755
92,IT,Small,370,Claude,2021,70,13.86,7.49,48831,85562
93,Retail,Medium,595,ChatGPT,2024,144,17.5,8.47,18936,117125
94,Healthcare,Large,2030,ChatGPT,2023,125,17.25,6.47,50920,144901
95,Education,Medium,981,Gemini,2025,52,18.01,9.08,45107,117779
96,IT,Small,383,Claude,2023,78,38.11,9.9,64661,86088
97,IT,Large,5000,Gemini,2024,73,23.88,7.11,114390,215344
98,Education,Small,351,Claude,2024,107,28.79,7.51,26791,94787
99,IT,Medium,1163,ChatGPT,2025,35,29.69,6.42,61596,168899
100,IT,Small,357,Gemini,2025,173,17.49,9.77,49061,148297
101,IT,Large,2201,Copilot,2024,108,24.77,7.37,98600,130250
102,Manufacturing,Medium,816,Gemini,2021,61,35.16,9.0,28762,43004
103,Education,Large,2764,ChatGPT,2024,86,26.44,7.1,130313,224619
104,Healthcare,Medium,1119,Copilot,2021,146,16.69,8.82,56184,110224
105,Education,Small,68,Gemini,2024,135,21.97,9.76,59639,103794
106,Manufacturing,Small,64,Claude,2021,137,34.73,9.72,9006,61980
107,IT,Small,213,Claude,2024,181,44.58,7.05,38151,155821
108,Healthcare,Medium,1089,ChatGPT,2023,154,23.07,8.95,97084,191452
109,Manufacturing,Medium,1331,ChatGPT,2022,127,35.01,9.93,34562,68739
110,IT,Medium,684,Copilot,2022,154,16.22,7.41,17460,26113
111,Retail,Small,302,ChatGPT,2021,46,21.99,6.21,100173,198159
112,Education,Medium,969,ChatGPT,2023,164,14.6,9.99,120299,145210
113,Education,Small,482,ChatGPT,2025,147,29.58,6.8,52137,76571
114,Education,Medium,1123,ChatGPT,2023,118,36.08,9.91,139263,196342
115,Finance,Medium,1120,Claude,2022,120,11.33,7.15,24951,48789
116,IT,Small,188,ChatGPT,2022,199,49.34,9.53,111460,196144
117,Finance,Large,3778,Copilot,2022,151,36.52,9.04,128366,152020
118,Manufacturing,Large,2136,Claude,2021,22,45.85,8.7,98258,167257
119,Manufacturing,Small,368,Gemini,2025,197,31.81,8.74,128883,200867
120,Healthcare,Medium,939,Gemini,2023,81,41.93,8.44,45920,86314
121,Education,Medium,1091,Gemini,2021,65,45.8,8.58,103747,161436
122,IT,Small,494,Gemini,2025,178,22.77,7.79,135893,188483
123,Education,Small,245,Copilot,2024,88,42.73,9.19,7059,93212
124,Healthcare,Small,98,Claude,2021,146,18.75,9.98,43897,140121
125,Manufacturing,Small,420,Gemini,2022,198,17.14,7.26,50251,117552
126,Education,Medium,726,Claude,2023,58,24.06,7.85,27604,51572
127,Retail,Large,1931,ChatGPT,2025,140,23.47,8.94,136702,167060
128,Finance,Medium,683,Claude,2022,195,23.12,6.11,6557,17268
129,Manufacturing,Small,50,ChatGPT,2025,79,31.54,7.19,8276,55372
130,Manufacturing,Medium,754,ChatGPT,2025,65,18.63,6.7,108315,177825
131,Finance,Small,413,Claude,2024,109,44.32,6.39,56273,168092
132,IT,Medium,1404,Copilot,2021,105,14.24,7.98,28666,69022
133,Manufacturing,Large,4681,Copilot,2025,197,35.89,9.53,117393,229319
134,Healthcare,Medium,1121,Copilot,2022,186,32.68,6.99,73831,94766
135,Finance,Large,1864,Gemini,2021,81,21.22,6.83,55072,138679
136,Finance,Large,3020,Gemini,2022,41,45.14,8.09,105722,139341
137,Finance,Medium,1213,Claude,2024,115,43.82,6.68,63657,97021
138,Finance,Large,2932,Gemini,2022,109,18.76,6.13,106818,192007
139,Finance,Small,144,ChatGPT,2021,166,33.43,8.5,24005,107736
140,Healthcare,Small,453,Claude,2024,74,18.06,6.63,17898,59377
141,Finance,Small,456,ChatGPT,2023,55,39.01,7.39,104381,178203
142,Finance,Small,99,Gemini,2021,109,14.77,9.79,45000,135073
143,Education,Small,487,Claude,2022,112,22.78,7.76,141645,157446
144,IT,Large,3884,ChatGPT,2023,62,37.56,6.5,92535,204990
145,Healthcare,Small,69,Claude,2024,126,47.77,7.15,58827,130707
146,Education,Large,3541,Copilot,2023,175,34.86,9.19,121108,233623
147,Education,Medium,732,Claude,2023,36,45.54,7.77,149916,191953
148,IT,Small,275,Gemini,2024,78,39.74,9.2,20827,122638
149,IT,Small,154,ChatGPT,2025,122,49.89,9.22,69228,178097
150,Education,Large,3198,Claude,2022,90,10.2,7.79,77052,84296
151,Manufacturing,Small,348,Copilot,2023,137,36.33,6.17,119681,179389
152,Healthcare,Small,427,Claude,2024,169,21.09,9.18,135148,234191
153,Retail,Medium,1006,Copilot,2024,168,24.64,7.85,86959,183878
154,IT,Medium,595,Gemini,2024,180,13.13,7.58,129348,185030
155,IT,Medium,536,Claude,2022,130,24.69,9.29,22393,128796
